Reason,Amount
Phone Call,15
Gym Songs,9
Schedule Look Up,18
GPS ,4
Email,34
Game,4
Snapchat,26
Video,3
Coffee-DD,5
Boredom,45
Set Alarm ,15
Piazza,3
Pictures,12
Stalking ,9
